record_id,municipality,category,name,address,lat,lng,coordinateSource,toiletLocation,floor,insideOutside,gateStatus,openingHours,wheelchair,ostomate,babyChangingTable,babyChair,largeBed,handrail,emergencyButton,powderRoom,freeUse,generalPublicUse,imageUrl,imageSourceUrl,imageType,imageLicense,sourceUrl,sourceType,verificationStatus,researchNote
GS-TK-002540,葛飾区,PUBLIC,南水元中の橋公園,東京都葛飾区南水元4-13-23南水元中の橋公園 南水元中の橋公園,35.778328,139.862877,official,,,,,,なし,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002541,葛飾区,PUBLIC,矢付公園,東京都葛飾区柴又1-38-8矢付公園 矢付公園,35.755962,139.873206,official,,,,,,なし,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002542,葛飾区,PUBLIC,柳田公園,東京都葛飾区お花茶屋3-16-6柳田公園 柳田公園,35.754088,139.84269,official,,,,,,なし,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002543,葛飾区,PUBLIC,四つ木つばさ公園,東京都葛飾区四つ木1-22-3四つ木つばさ公園 四つ木つばさ公園,35.734123,139.834183,official,,,,,,あり,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002544,葛飾区,PUBLIC,四つ木公園,東京都葛飾区四つ木1-16-24四つ木公園 四つ木公園,35.73351,139.836545,official,,,,,,あり,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002545,葛飾区,PUBLIC,四つ木四丁目公園,東京都葛飾区四つ木4-24-11四つ木四丁目公園 四つ木四丁目公園,35.738324,139.835625,official,,,,,,なし,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002547,葛飾区,PUBLIC,わかば公園,東京都葛飾区東金町5-23-6わかば公園 わかば公園,35.778959,139.878019,official,,,,,,あり,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002548,葛飾区,PUBLIC,あおぞら児童遊園,東京都葛飾区亀有1-3-15あおぞら児童遊園 あおぞら児童遊園,35.754553,139.846696,official,,,,,,なし,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002549,葛飾区,PUBLIC,青戸三丁目西児童遊園,東京都葛飾区青戸3-10-11先青戸三丁目西児童遊園 先青戸三丁目西児童遊園,35.745983,139.848975,official,,,,,,なし,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002550,葛飾区,PUBLIC,青戸三丁目東児童遊園,東京都葛飾区青戸3-22-23先青戸三丁目東児童遊園 先青戸三丁目東児童遊園,35.744962,139.85178,official,,,,,,なし,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002551,葛飾区,PUBLIC,青戸七丁目児童遊園,東京都葛飾区青戸7-16-8青戸七丁目児童遊園 青戸七丁目児童遊園,35.754147,139.854073,official,,,,,,なし,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
